country,x,y
Holland,1349.390476,494.796748
Holland,1361.266667,632.7696477
Holland,1368.228571,718.5365854
Holland,1370.685714,820.1517615
Holland,1380.841905,887.4601626
Holland,1389.19619,1021.704065
Holland,1395.666667,964.6504065
Holland,1402.08254,831.3387534
Holland,1410.819048,824.8130081
Holland,1425.971429,785.6585366
Holland,1429.657143,899.3929539
Holland,1435.390476,992.6178862
Holland,1444.4,942.2764228
Holland,1459.02585,1089.305459
Holland,1467.435714,1103.788618
Holland,1477.366667,1084.910569
Holland,1487.4,1031.772358
Holland,1495.795238,1084.910569
Holland,1507.739683,1174.406504
Holland,1511.971429,1291.869919
Holland,1518.52381,1540.780488
Holland,1525.485714,1627.479675
Holland,1527.533333,1507.219512
Holland,1532.311111,1787.515808
Holland,1531.219048,1949.105691
Holland,1537.771429,1505.355014
Holland,1538.590476,1384.162602
Holland,1542.139683,1152.96477
Holland,1547.6,1328.227642
Holland,1553.005714,1510.57561
Holland,1557.592381,1806.285095
Holland,1559.47619,1926.731707
Holland,1564.682993,2062.307395
Holland,1565.619048,2156.065041
Holland,1573.263492,1817.969286
Holland,1569.304762,1621.886179
Holland,1573.195238,1469.463415
Holland,1571.352381,1182.796748
Holland,1580.054762,2087.544715
Holland,1586.504762,2217.593496
Holland,1591.828571,2357.430894
Holland,1592.238095,2469.300813
Holland,1597.725714,2596.83252
Holland,1606.025397,2465.571816
Holland,1605.615873,2238.102981
Holland,1609.847619,2098.265583
Holland,1615.580952,2516.612466
Holland,1613.533333,2233.814634
Holland,1613.533333,1893.170732
Holland,1621.860317,2161.658537
Holland,1619.266667,2804.910569
Holland,1621.314286,2575.577236
Holland,1629.709524,2456.715447
Holland,1628.685714,2196.151762
Holland,1629.095238,2013.430894
Holland,1633.6,2543.880759
Holland,1640.357143,2407.772358
Holland,1648.069841,2496.646793
Holland,1649.571429,2592.357724
Holland,1651.209524,2301.495935
Holland,1652.028571,2125.300813
Holland,1659.481905,2004.667751
Holland,1658.990476,1786.894309
Holland,1666.853333,2058.738211
Holland,1670.252381,1926.731707
Holland,1675.04381,1853.270461
Holland,1679.139048,1965.886179
Holland,1683.971429,2041.398374
Holland,1688.680952,2220.390244
Holland,1690.52381,2315.479675
Holland,1699.942857,2222.95393
Holland,1703.219048,2346.243902
Holland,1708.952381,2526.168022
Holland,1713.866667,2544.813008
Holland,1715.095238,2388.195122
Holland,1715.914286,2225.051491
